aAa b
1) 5aAaa 9p, 5g (2-3-0), 2gd (2-0)
2) b bbb 7p, 5g (2-1-2), 0gd (3-3)
3) b6    6p, 4g (1-3-0), 1gd (2-1)
4) aaaa  6p, 5g (1-3-1), 0gd (3-3)
5) 55 6b 5p, 3g (1-2-0), 1gd (2-1)
6) 56bA  4p, 2g (1-1-0), 1gd (2-1)
7) a5aBa 3p, 2g (1-0-1), 0gd (1-1)
8) ab6ab 3p, 3g (0-3-0), 0gd (0-0)
9) B55BA 3p, 5g (0-3-2), -2gd (2-4)
10) A6a a 3p, 6g (0-3-3), -3gd (2-5)

5bb b
1) babB5 10p, 4g (3-1-0), 3gd (3-0)
2) b baB 9p, 6g (2-3-1), 1gd (4-3)
3) aaaA  7p, 3g (2-1-0), 2gd (3-1)
4) 6a b5 6p, 4g (1-3-0), 1gd (3-2)
5) A6bB  5p, 7g (0-5-2), -2gd (2-4)
6) A56aa 4p, 6g (0-4-2), -2gd (2-4)
7) bA6A  3p, 3g (0-3-0), 0gd (2-2)
8) ba6 b 2p, 4g (0-2-2), -2gd (1-3)
9) b  ba 1p, 1g (0-1-0), 0gd (0-0)
10) A6AbB 1p, 2g (0-1-1), -1gd (0-1)

B B a
1) b6    9p, 6g (2-3-1), 1gd (2-1)
2) babb6 8p, 6g (1-5-0), 1gd (1-0)
3) bbABb 7p, 5g (1-4-0), 1gd (1-0)
4) bb5Aa 6p, 5g (1-3-1), 0gd (3-3)
5) AA ba 5p, 6g (0-5-1), -1gd (2-3)
6) bb    4p, 3g (1-1-1), 0gd (1-1)
7) bB Bb 4p, 4g (0-4-0), 0gd (1-1)
8) 6Bb6  2p, 2g (0-2-0), 0gd (1-1)
9) 56BB5 1p, 1g (0-1-0), 0gd (0-0)
10) Bab B 0p, 2g (0-0-2), -2gd (0-2)

a665a
1) 6ab5B 12p, 7g (3-3-1), 2gd (3-1)
2) 6aa6b 7p, 4g (2-1-1), 1gd (3-2)
3) abb65 5p, 3g (1-2-0), 1gd (1-0)
4) a A   5p, 4g (1-2-1), 0gd (1-1)
5) bb6 a 5p, 7g (1-2-4), -3gd (3-6)
6) bBbBa 4p, 3g (1-1-1), 0gd (1-1)
7) bab a 4p, 4g (1-1-2), -1gd (1-2)
8) 6BBB  4p, 4g (0-4-0), 0gd (1-1)
9) b aaB 3p, 1g (1-0-0), 1gd (1-0)
10) bBBb5 2p, 3g (0-2-1), -1gd (0-1)

BaA a
1) aa A  12p, 4g (4-0-0), 4gd (4-0)
2) a6bab 8p, 6g (1-5-0), 1gd (3-2)
3) bBb a 7p, 6g (1-4-1), 0gd (3-3)
4) a  5a 6p, 5g (1-3-1), 0gd (3-3)
5) B a a 4p, 4g (0-4-0), 0gd (4-4)
6) 5bA 5 3p, 1g (1-0-0), 1gd (1-0)
7) 6bab6 2p, 2g (0-2-0), 0gd (2-2)
8) a Ba5 2p, 3g (0-2-1), -1gd (1-2)
9) bA6Bb 2p, 4g (0-2-2), -2gd (1-3)
10) b6 Bb 2p, 5g (0-2-3), -3gd (2-5)

aB5ab
1) abBAB 12p, 7g (3-3-1), 2gd (5-3)
2) bbba6 9p, 7g (1-6-0), 1gd (5-4)
3) bb  b 7p, 5g (2-1-2), 0gd (2-2)
4) bbba  7p, 5g (1-4-0), 1gd (5-4)
5) b     5p, 4g (1-2-1), 0gd (3-3)
6) b655a 5p, 4g (1-2-1), 0gd (2-2)
7) A 66a 2p, 3g (0-2-1), -1gd (1-2)
8) 5b65a 1p, 2g (0-1-1), -1gd (1-2)
9) bB  a 1p, 2g (0-1-1), -1gd (1-2)
10) ba b5 0p, 1g (0-0-1), -1gd (0-1)

B5aAB
1) A6bBb 10p, 6g (2-4-0), 2gd (3-1)
2) aab5a 8p, 6g (2-2-2), 0gd (2-2)
3) ab5   7p, 3g (2-1-0), 2gd (3-1)
4) aa Bb 7p, 6g (1-4-1), 0gd (3-3)
5) bA ab 4p, 3g (1-1-1), 0gd (2-2)
6) 6 Bb5 4p, 3g (1-1-1), 0gd (1-1)
7) b6Ba  4p, 4g (0-4-0), 0gd (2-2)
8) aBb6  3p, 3g (0-3-0), 0gd (1-1)
9) babB  1p, 2g (0-1-1), -1gd (1-2)
10) b56b  1p, 4g (0-1-3), -3gd (1-4)

6 6b 
1) bB  a 10p, 6g (2-4-0), 2gd (6-4)
2) 5AA5b 7p, 5g (1-4-0), 1gd (2-1)
3) b A6  6p, 2g (2-0-0), 2gd (2-0)
4) BBaAa 6p, 4g (1-3-0), 1gd (3-2)
5) aA6b5 5p, 3g (1-2-0), 1gd (3-2)
6) B5b b 5p, 5g (1-2-2), -1gd (2-3)
7) aaaa5 4p, 4g (1-1-2), -1gd (2-3)
8) abAA  4p, 6g (0-4-2), -2gd (2-4)
9) Ba5ab 1p, 1g (0-1-0), 0gd (1-1)
10) aAab5 1p, 4g (0-1-3), -3gd (0-3)

bbAb6
1) AbA5A 10p, 7g (2-4-1), 1gd (3-2)
2) Aa5 B 8p, 5g (2-2-1), 1gd (3-2)
3) 5 Aa5 7p, 4g (2-1-1), 1gd (2-1)
4) a5b5a 7p, 7g (1-4-2), -1gd (2-3)
5) 56 a5 4p, 3g (1-1-1), 0gd (2-2)
6) 5a5Ab 4p, 3g (1-1-1), 0gd (1-1)
7) a  Aa 3p, 2g (1-0-1), 0gd (1-1)
8) bb  6 3p, 4g (0-3-1), -1gd (2-3)
9) ABaBA 2p, 2g (0-2-0), 0gd (2-2)
10) b A6B 2p, 3g (0-2-1), -1gd (2-3)

bBBA 
1) B baa 14p, 7g (4-2-1), 3gd (6-3)
2) 5b5aa 8p, 4g (2-2-0), 2gd (3-1)
3) ABa6  7p, 5g (2-1-2), 0gd (3-3)
4) b aa  6p, 4g (2-0-2), 0gd (2-2)
5) ab b6 6p, 7g (1-3-3), -2gd (4-6)
6) aaAaa 5p, 4g (1-2-1), 0gd (3-3)
7) a a b 5p, 4g (1-2-1), 0gd (2-2)
8) A6 5  1p, 1g (0-1-0), 0gd (1-1)
9) bBa   1p, 3g (0-1-2), -2gd (1-3)
10) a5a5A 0p, 1g (0-0-1), -1gd (0-1)
